V4_2,Data_Marking,CV,calendar-years,time,admin-geography,geography,ashe-statistics,statistics,ashe-sex,sex,ashe-working-pattern,workingpattern,ashe-hours-and-earnings,hoursandearnings,ashe-workplace-or-residence,workplaceorresidence
14.73,,2.0,2017,2017,E08000003,Manchester,mean,Mean,all,All,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,residence,Residence
18.53,,2.1,2017,2017,E08000003,Manchester,mean,Mean,male,Male,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,workplace,Workplace
34761.0,,2.3,2017,2017,E08000003,Manchester,mean,Mean,all,All,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,workplace,Workplace
15.97,,2.0,2017,2017,E08000003,Manchester,mean,Mean,female,Female,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,workplace,Workplace
30390.0,,2.7,2017,2017,E08000003,Manchester,mean,Mean,female,Female,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,workplace,Workplace
38125.0,,3.4,2017,2017,E08000003,Manchester,mean,Mean,male,Male,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,workplace,Workplace
26296.0,,4.0,2018,2018,E08000003,Manchester,mean,Mean,female,Female,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,residence,Residence
32618.0,,3.9,2018,2018,E08000003,Manchester,mean,Mean,male,Male,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,residence,Residence
30136.0,,3.0,2018,2018,E08000003,Manchester,mean,Mean,all,All,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,residence,Residence
13.68,,2.9,2018,2018,E08000003,Manchester,mean,Mean,female,Female,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,residence,Residence
16.22,,3.3,2018,2018,E08000003,Manchester,mean,Mean,male,Male,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,residence,Residence
15.2,,2.4,2018,2018,E08000003,Manchester,mean,Mean,all,All,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,residence,Residence
31034.0,,2.7,2018,2018,E08000003,Manchester,mean,Mean,female,Female,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,workplace,Workplace
39492.0,,3.7,2018,2018,E08000003,Manchester,mean,Mean,male,Male,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,workplace,Workplace
35924.0,,2.6,2018,2018,E08000003,Manchester,mean,Mean,all,All,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,workplace,Workplace
15.93,,2.2,2018,2018,E08000003,Manchester,mean,Mean,female,Female,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,workplace,Workplace
18.42,,2.4,2018,2018,E08000003,Manchester,mean,Mean,male,Male,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,workplace,Workplace
17.36,,1.7,2018,2018,E08000003,Manchester,mean,Mean,all,All,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,workplace,Workplace
28705.0,,4.5,2016,2016,E08000005,Rochdale,mean,Mean,all,All,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,residence,Residence
14.3,,4.2,2016,2016,E08000005,Rochdale,mean,Mean,male,Male,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,residence,Residence
24848.0,,7.2,2016,2016,E08000005,Rochdale,mean,Mean,female,Female,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,workplace,Workplace
13.53,,5.8,2016,2016,E08000005,Rochdale,mean,Mean,female,Female,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,workplace,Workplace
27382.0,,5.0,2016,2016,E08000005,Rochdale,mean,Mean,all,All,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,workplace,Workplace
