V4_2,Data_Marking,CV,calendar-years,time,admin-geography,geography,ashe-statistics,statistics,ashe-sex,sex,ashe-working-pattern,workingpattern,ashe-hours-and-earnings,hoursandearnings,ashe-workplace-or-residence,workplaceorresidence
45947.0,,6.1,2017,2017,E09000026,Redbridge,mean,Mean,male,Male,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,residence,Residence
33953.0,,9.1,2017,2017,E09000026,Redbridge,mean,Mean,female,Female,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,residence,Residence
41816.0,,5.2,2017,2017,E09000026,Redbridge,mean,Mean,all,All,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,residence,Residence
21.97,,4.4,2017,2017,E09000026,Redbridge,mean,Mean,male,Male,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,residence,Residence
32792.0,,5.6,2017,2017,E09000026,Redbridge,mean,Mean,all,All,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,workplace,Workplace
36483.0,,6.4,2017,2017,E09000026,Redbridge,mean,Mean,male,Male,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,workplace,Workplace
25523.0,,10.0,2017,2017,E09000026,Redbridge,mean,Mean,female,Female,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,workplace,Workplace
17.3,,5.7,2017,2017,E09000026,Redbridge,mean,Mean,female,Female,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,residence,Residence
12.98,,6.6,2017,2017,E09000026,Redbridge,mean,Mean,female,Female,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,workplace,Workplace
20.31,,3.6,2017,2017,E09000026,Redbridge,mean,Mean,all,All,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,residence,Residence
15.55,,4.3,2017,2017,E09000026,Redbridge,mean,Mean,all,All,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,workplace,Workplace
16.79,,5.2,2017,2017,E09000026,Redbridge,mean,Mean,male,Male,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,workplace,Workplace
34586.0,,8.5,2018,2018,E09000026,Redbridge,mean,Mean,female,Female,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,residence,Residence
46172.0,,8.8,2018,2018,E09000026,Redbridge,mean,Mean,male,Male,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,residence,Residence
41727.0,,6.5,2018,2018,E09000026,Redbridge,mean,Mean,all,All,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,residence,Residence
17.92,,4.8,2018,2018,E09000026,Redbridge,mean,Mean,female,Female,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,residence,Residence
22.04,,4.9,2018,2018,E09000026,Redbridge,mean,Mean,male,Male,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,residence,Residence
20.42,,3.7,2018,2018,E09000026,Redbridge,mean,Mean,all,All,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,residence,Residence
,x,22.0,2018,2018,E09000026,Redbridge,mean,Mean,male,Male,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,workplace,Workplace
26442.0,,8.0,2018,2018,E09000026,Redbridge,mean,Mean,female,Female,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,workplace,Workplace
31969.0,,13.0,2018,2018,E09000026,Redbridge,mean,Mean,all,All,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,workplace,Workplace
14.27,,5.4,2018,2018,E09000026,Redbridge,mean,Mean,female,Female,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,workplace,Workplace
17.27,,7.2,2018,2018,E09000026,Redbridge,mean,Mean,male,Male,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,workplace,Workplace
15.88,,4.9,2018,2018,E09000026,Redbridge,mean,Mean,all,All,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,workplace,Workplace
19.09,,4.0,2016,2016,E09000008,Croydon,mean,Mean,male,Male,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,residence,Residence
32011.0,,6.8,2016,2016,E09000008,Croydon,mean,Mean,female,Female,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,residence,Residence
16.33,,2.7,2016,2016,E09000008,Croydon,mean,Mean,female,Female,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,residence,Residence
19.37,,13.0,2016,2016,E09000008,Croydon,mean,Mean,all,All,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,workplace,Workplace
37223.0,,4.9,2016,2016,E09000008,Croydon,mean,Mean,all,All,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,residence,Residence
17.84,,2.6,2016,2016,E09000008,Croydon,mean,Mean,all,All,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,residence,Residence
42159.0,,5.9,2016,2016,E09000008,Croydon,mean,Mean,male,Male,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,residence,Residence
30036.0,,5.0,2016,2016,E09000008,Croydon,mean,Mean,female,Female,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,workplace,Workplace
15.46,,3.5,2016,2016,E09000008,Croydon,mean,Mean,female,Female,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,workplace,Workplace
,x,34.0,2016,2016,E09000008,Croydon,mean,Mean,male,Male,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,workplace,Workplace
,x,23.0,2016,2016,E09000008,Croydon,mean,Mean,all,All,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,workplace,Workplace
22.4,,19.0,2016,2016,E09000008,Croydon,mean,Mean,male,Male,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,workplace,Workplace
38991.0,,4.5,2017,2017,E09000008,Croydon,mean,Mean,all,All,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,residence,Residence
33624.0,,5.5,2017,2017,E09000008,Croydon,mean,Mean,female,Female,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,residence,Residence
43024.0,,6.1,2017,2017,E09000008,Croydon,mean,Mean,male,Male,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,residence,Residence
15.85,,3.4,2017,2017,E09000008,Croydon,mean,Mean,female,Female,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,workplace,Workplace
19.83,,3.6,2017,2017,E09000008,Croydon,mean,Mean,male,Male,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,residence,Residence
31367.0,,5.1,2017,2017,E09000008,Croydon,mean,Mean,female,Female,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,workplace,Workplace
17.15,,2.7,2017,2017,E09000008,Croydon,mean,Mean,all,All,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,workplace,Workplace
17.3,,3.1,2017,2017,E09000008,Croydon,mean,Mean,female,Female,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,residence,Residence
38896.0,,4.6,2017,2017,E09000008,Croydon,mean,Mean,male,Male,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,workplace,Workplace
18.75,,2.5,2017,2017,E09000008,Croydon,mean,Mean,all,All,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,residence,Residence
18.07,,3.8,2017,2017,E09000008,Croydon,mean,Mean,male,Male,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,workplace,Workplace
35839.0,,3.6,2017,2017,E09000008,Croydon,mean,Mean,all,All,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,workplace,Workplace
47750.0,,6.8,2018,2018,E09000008,Croydon,mean,Mean,male,Male,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,residence,Residence
34456.0,,4.6,2018,2018,E09000008,Croydon,mean,Mean,female,Female,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,residence,Residence
42021.0,,4.9,2018,2018,E09000008,Croydon,mean,Mean,all,All,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,residence,Residence
17.65,,2.9,2018,2018,E09000008,Croydon,mean,Mean,female,Female,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,residence,Residence
20.87,,4.0,2018,2018,E09000008,Croydon,mean,Mean,male,Male,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,residence,Residence
19.48,,2.7,2018,2018,E09000008,Croydon,mean,Mean,all,All,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,residence,Residence
32355.0,,4.2,2018,2018,E09000008,Croydon,mean,Mean,female,Female,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,workplace,Workplace
40710.0,,4.6,2018,2018,E09000008,Croydon,mean,Mean,male,Male,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,workplace,Workplace
36956.0,,3.4,2018,2018,E09000008,Croydon,mean,Mean,all,All,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,workplace,Workplace
16.24,,3.5,2018,2018,E09000008,Croydon,mean,Mean,female,Female,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,workplace,Workplace
